release_date,registration_date,election_date,days_elapsed_between_release_and_registration,average_time_elapsed_in_months
2021-08-10,2021-11-19,2013-06-04,101.04166666666667,7.282564890710382
2019-10-17,2020-08-07,2020-11-03,295,7.282564890710382
2020-05-24,2020-08-17,2021-11-02,85,7.282564890710382
2019-01-19,2022-04-09,2020-11-03,1175.9583333333333,7.282564890710382
2020-05-21,2020-10-04,2020-11-03,136,7.282564890710382
2021-02-18,2021-10-12,2021-11-02,235.95833333333334,7.282564890710382
2019-04-29,2020-08-21,2020-11-03,480,7.282564890710382
2020-05-29,2020-10-06,2020-11-03,130,7.282564890710382
2020-09-17,2020-10-08,2021-06-08,21,7.282564890710382
2020-12-22,2021-10-12,2021-11-02,293.9583333333333,7.282564890710382
2020-06-22,2020-10-13,2020-11-03,113,7.282564890710382
2022-01-20,2022-01-27,2013-06-04,7,7.282564890710382
2019-02-24,2021-06-01,2021-11-02,827.9583333333334,7.282564890710382
2019-03-06,2019-04-05,2021-11-02,29.958333333333332,7.282564890710382
2019-06-10,2020-08-27,2020-11-03,444,7.282564890710382
2019-02-06,2020-07-08,2020-11-03,517.9583333333334,7.282564890710382
2020-06-14,2020-07-20,2020-11-03,36,7.282564890710382
2019-03-22,2019-05-16,2021-11-02,55,7.282564890710382
2019-10-15,2019-10-16,2020-11-03,1,7.282564890710382
2020-08-29,2021-01-20,2012-06-05,144.04166666666666,7.282564890710382
2020-01-02,2020-06-18,2020-11-03,167.95833333333334,7.282564890710382
2019-06-13,2019-07-03,2021-11-02,20,7.282564890710382
2020-07-23,2020-09-21,2020-11-03,60,7.282564890710382
2019-06-12,2019-07-10,2020-11-03,28,7.282564890710382
2019-11-13,2020-06-16,2022-06-07,215.95833333333334,7.282564890710382
2019-12-12,2020-09-23,2020-11-03,285.9583333333333,7.282564890710382
2020-07-21,2020-09-29,2020-11-03,70,7.282564890710382
2021-01-05,2021-01-21,2021-11-02,16,7.282564890710382
2020-08-28,2020-09-29,2020-11-03,32,7.282564890710382
2019-08-18,2019-09-26,2019-11-05,39,7.282564890710382
2019-09-27,2019-10-16,2020-11-03,19,7.282564890710382
2020-06-22,2021-10-05,2021-11-02,470,7.282564890710382
2022-04-01,2022-04-15,2012-11-06,14,7.282564890710382
2020-06-18,2020-09-08,2012-11-06,82,7.282564890710382
2020-02-17,2021-04-23,2021-11-02,430.9583333333333,7.282564890710382
2020-08-10,2021-09-02,2020-11-03,388,7.282564890710382
2020-10-07,2020-10-13,2020-11-03,6,7.282564890710382
2020-06-29,2020-07-10,2020-11-03,11,7.282564890710382
2021-07-13,2021-10-25,2008-11-04,104,7.282564890710382
2020-02-25,2020-10-13,2020-11-03,230.95833333333334,7.282564890710382
2020-11-04,2021-01-14,2017-06-06,71,7.282564890710382
2020-09-11,2020-09-21,2020-11-03,10,7.282564890710382
2019-09-06,2020-10-13,2020-11-03,403,7.282564890710382
2020-02-23,2020-07-14,2020-11-03,141.95833333333334,7.282564890710382
2020-07-01,2021-12-16,2022-06-07,533.0416666666666,7.282564890710382
2020-10-01,2020-11-10,2021-06-08,40.041666666666664,7.282564890710382
2020-11-04,2021-05-18,2021-11-02,194.95833333333334,7.282564890710382
2020-07-17,2020-09-15,2021-11-02,60,7.282564890710382
2020-08-31,2021-02-16,2020-11-03,169.04166666666666,7.282564890710382
2021-02-11,2021-03-10,2008-11-04,27,7.282564890710382
2020-02-14,2020-09-29,2008-11-04,227.95833333333334,7.282564890710382
2019-05-02,2020-10-21,2021-11-02,538,7.282564890710382
2020-11-29,2021-04-03,2021-06-08,124.95833333333333,7.282564890710382
2019-05-30,2020-09-16,2021-11-02,475,7.282564890710382
2019-05-05,2020-09-29,2020-11-03,513,7.282564890710382
2020-05-20,2020-10-06,2021-06-08,139,7.282564890710382
2019-05-08,2020-10-22,2022-06-07,533,7.282564890710382
2020-07-28,2020-09-01,2020-11-03,35,7.282564890710382
2020-09-08,2020-09-16,2021-11-02,8,7.282564890710382
2021-06-01,2021-06-24,2016-11-08,23,7.282564890710382
2020-11-04,2021-02-05,2016-11-08,93,7.282564890710382
2019-11-04,2020-06-02,2021-11-02,210.95833333333334,7.282564890710382
2019-10-08,2021-07-15,2012-11-06,646,7.282564890710382
2020-04-02,2020-10-11,2020-11-03,192,7.282564890710382
2021-06-24,2021-07-21,2012-11-06,27,7.282564890710382
2019-04-12,2020-10-12,2020-11-03,549,7.282564890710382
2019-11-05,2020-02-28,2020-11-03,115,7.282564890710382
2020-06-29,2021-06-01,2014-06-03,337,7.282564890710382
2020-06-30,2020-10-29,2012-11-06,121,7.282564890710382
2019-09-18,2020-10-05,2021-11-02,383,7.282564890710382
2019-12-27,2020-09-22,2020-11-03,269.9583333333333,7.282564890710382
2019-08-28,2020-10-17,2020-11-03,416,7.282564890710382
2019-04-03,2019-04-29,2021-11-02,26,7.282564890710382
2021-04-14,2021-05-13,2016-11-08,29,7.282564890710382
2021-05-17,2021-06-05,2008-11-04,19,7.282564890710382
2020-12-07,2020-12-17,2016-11-08,10,7.282564890710382
2020-11-04,2021-09-28,2010-06-08,327.9583333333333,7.282564890710382
2020-06-18,2021-05-26,2021-11-02,342,7.282564890710382
2019-01-11,2022-03-13,2020-11-03,1157,7.282564890710382
2019-08-12,2020-09-26,2021-11-02,411,7.282564890710382
